product_name,product_category,product_type,weight,fragility,fragility_score,current_material,cost_per_unit,co2_emission_kg,recyclability,biodegradability,durability,recommended_material,rec_co2,rec_cost,rec_recyclability,rec_biodegradability
smartphone_box,Electronics,smartphone box,1324.9,high,3.0,Cardboard,0.7009,1.2417,0.8577,0.7115,0.5517,Mycelium,0.1325,5.2997,0.4,0.99
vitamin bottle,Pharmaceuticals,vitamin bottle,169.7,high,3.0,Cardboard,0.0805,0.1609,0.8859,0.7237,0.5829,Bioplastic (PLA),0.1358,0.4752,0.3,0.85
inhaler box,Pharmaceuticals,inhaler box,0.048 kg,medium,2.0,Plastic (HDPE),0.0317,0.1782,0.768,0.0478,0.8412,Bioplastic (PLA),0.0387,0.1355,0.3,0.85
fertilizer bag,Agriculture,fertilizer bag,13361.3,low,1.0,Plastic (HDPE),8.9669,46.4207,0.7379,0.051,0.826,Bamboo,4.0084,42.7562,0.6,0.95
handbag packaging,fashion_&_apparel,handbag packaging,1154.1,low,1.0,Cardboard,0.4935,,0.9719,0.7448,0.5805,Kraft Paper,0.8079,0.4617,0.85,0.88
fertilizer bag,Agriculture,fertilizer bag,18272.3,low,1.0,Kraft Paper,8.1728,13.4768,,0.8192,0.4568,Hemp Fiber,3.6545,62.1259,0.65,0.96
fertilizer bag,Agriculture,fertilizer bag,13408.8,low,1.0,Kraft Paper,5.8091,9.3036,0.8509,,0.4216,Kraft Paper,9.3862,5.3635,0.85,0.88
watch box,Fashion & Apparel,watch box,1.295 kg,medium,2.0,Wood,3.2943,0.6515,0.7043,0.8217,0.8521,Recycled Cardboard,0.6474,0.7769,0.92,0.82
headphone case,Electronics,headphone case,,high,3.0,Plastic (PET),4.0643,19.2722,0.7462,0.0501,0.8293,Bamboo,1.527,16.2875,0.6,0.95
toy car box,Toys & Games,toy car box,522.2,medium,2.0,Plastic (PET),0.4078,1.951,0.6965,0.0544,0.8162,Recycled Plastic,0.9399,0.5222,0.9,0.1
yogurt_cup,Food & Beverage,yogurt cup,1458.9,medium,2.0,Steel (Tinplate),2.0422,4.4807,0.8541,0.0189,1.0,Recycled Plastic,2.6261,1.4589,0.9,0.1
shampoo bottle,Cosmetics,shampoo bottle,168.2,medium,2.0,Plastic (PET),0.131,0.5899,0.7339,0.0521,0.7728,Bioplastic (PLA),0.1346,0.4711,0.3,0.85
wire coil packaging,industrial - eco,wire coil packaging,6.583 kg,medium,2.0,Steel (Tinplate),9.1901,20.055,0.9336,0.018,0.977,Steel (Tinplate),19.7489,9.2162,0.88,0.02
pesticide container,Agriculture,pesticide container,13383.4,low,1.0,Plastic (HDPE),9.4935,43.1317,0.7691,,0.888,Kraft Paper,9.3684,5.3534,0.85,0.88
rice bag,Food & Beverage,rice bag,457.2,medium,,Glass,170.64,159.12,1.0,0.1019,0.8609,Recycled Plastic,0.823,0.4572,0.9,0.1
machine part box,Industrial,machine part box,6692.5,medium,2.0,Wood,17.3724,3.5469,0.697,0.8752,0.8721,Steel (Tinplate),20.0775,9.3695,0.88,0.02
first aid kit,Pharmaceuticals,first aid kit,0.178 kg,high,3.0,Glass,0.315,0.2077,1.0,0.1015,0.8826,Bioplastic (PLA),0.1425,0.4989,0.3,0.85
makeup remover bottle,Cosmetics,makeup remover bottle,406.6,high,3.0,Aluminum,,3.3879,0.8826,0.0208,0.9607,Glass,0.4879,0.7319,0.95,0.1
